"";"dm";"data_2019";"valor_2019";"acumulado_2019";"data_2020";"valor_2020";"acumulado_2020";"data_2021";"valor_2021";"acumulado_2021";"data_2022";"valor_2022";"acumulado_2022";"variacao22_21"
"1";"1/1";2019-01-01;0;0;2020-01-01;0;0;2021-01-01;0;0;2022-01-01;0;0;NA
"2";"2/1";2019-01-02;358575,55;358575,55;2020-01-02;331701,95;331701,95;2021-01-02;0;0;2022-01-02;0;0;NA
"3";"3/1";2019-01-03;40541,77;399117,32;2020-01-03;3621686,47;3953388,42;2021-01-03;0;0;2022-01-03;51349,55;51349,55;Inf
"4";"4/1";2019-01-04;8430698,36;8829815,68;2020-01-04;0;3953388,42;2021-01-04;291802,64;291802,64;2022-01-04;2187453,57;2238803,12;667,231961986362
"5";"5/1";2019-01-05;0;8829815,68;2020-01-05;0;3953388,42;2021-01-05;16872795,99;17164598,63;2022-01-05;21433785,15;23672588,27;37,9151868347533
"6";"6/1";2019-01-06;0;8829815,68;2020-01-06;29108752,38;33062140,8;2021-01-06;1139760,17;18304358,8;2022-01-06;3262771,5;26935359,77;47,1527086215115
"7";"7/1";2019-01-07;17482511,8;26312327,48;2020-01-07;415287,3;33477428,1;2021-01-07;15393835,17;33698193,97;2022-01-07;25295288,78;52230648,55;54,9953941047957
"8";"8/1";2019-01-08;2985156,96;29297484,44;2020-01-08;10958360,5;44435788,6;2021-01-08;13830273,12;47528467,09;2022-01-08;0;52230648,55;9,89340020391558
"9";"9/1";2019-01-09;15122759,28;44420243,72;2020-01-09;9424596,31;53860384,91;2021-01-09;0;47528467,09;2022-01-09;0;52230648,55;9,89340020391558
"10";"10/1";2019-01-10;15934907,9;60355151,62;2020-01-10;16646955,42;70507340,33;2021-01-10;0;47528467,09;2022-01-10;27621314,24;79851962,79;68,0087065269582
"11";"11/1";2019-01-11;486530,48;60841682,1;2020-01-11;0;70507340,33;2021-01-11;23148993,55;70677460,64;2022-01-11;416749,49;80268712,28;13,5704530880837
"12";"12/1";2019-01-12;0;60841682,1;2020-01-12;0;70507340,33;2021-01-12;163282,81;70840743,45;2022-01-12;31643,96;80300356,24;13,353350528678
"13";"13/1";2019-01-13;0;60841682,1;2020-01-13;74973,42;70582313,75;2021-01-13;67041,69;70907785,14;2022-01-13;53267,54;80353623,78;13,3212997999446
"14";"14/1";2019-01-14;10510,99;60852193,09;2020-01-14;86140,67;70668454,42;2021-01-14;40580,88;70948366,02;2022-01-14;43466,41;80397090,19;13,3177473986314
"15";"15/1";2019-01-15;154573,69;61006766,78;2020-01-15;293778,28;70962232,7;2021-01-15;190548,45;71138914,47;2022-01-15;0;80397090,19;13,0142212444137
"16";"16/1";2019-01-16;206626,94;61213393,72;2020-01-16;305375,21;71267607,91;2021-01-16;0;71138914,47;2022-01-16;0;80397090,19;13,0142212444137
"17";"17/1";2019-01-17;124153,08;61337546,8;2020-01-17;1770480,97;73038088,88;2021-01-17;0;71138914,47;2022-01-17;125139,1;80522229,29;13,190129326414
"18";"18/1";2019-01-18;805253,23;62142800,03;2020-01-18;0;73038088,88;2021-01-18;987257,97;72126172,44;2022-01-18;668445,22;81190674,51;12,5675628739908
"19";"19/1";2019-01-19;0;62142800,03;2020-01-19;0;73038088,88;2021-01-19;424525,68;72550698,12;2022-01-19;72684,81;81263359,32;12,0090659714799
"20";"20/1";2019-01-20;0;62142800,03;2020-01-20;238514,41;73276603,29;2021-01-20;373443,79;72924141,91;2022-01-20;198325,31;81461684,63;11,7074297981273
"21";"21/1";2019-01-21;1006591,74;63149391,77;2020-01-21;222614,83;73499218,12;2021-01-21;33624,19;72957766,1;2022-01-21;7636,86;81469321,49;11,6664144819533
"22";"22/1";2019-01-22;318934,45;63468326,22;2020-01-22;41919,54;73541137,66;2021-01-22;3529329,67;76487095,77;2022-01-22;0;81469321,49;6,51381212718781
"23";"23/1";2019-01-23;495509,59;63963835,81;2020-01-23;274271,26;73815408,92;2021-01-23;0;76487095,77;2022-01-23;0;81469321,49;6,51381212718781
"24";"24/1";2019-01-24;3010586,22;66974422,03;2020-01-24;4439658,43;78255067,35;2021-01-24;0;76487095,77;2022-01-24;3025569,58;84494891,07;10,4694722938361
